答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_经理室——陈晓非，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_经理室——陈晓非，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_市场产品部——张涛，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_市场产品部——张涛，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_市场产品部——陈小，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_市场产品部——陈小，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_市场产品部——张明，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_市场产品部——张明，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_市场产品部——李芳，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_市场产品部——李芳，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-设计组——林琴，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-设计组——林琴，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-设计组——周妹，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-设计组——周妹，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-设计组——陈静，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-设计组——陈静，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-产品组——张荣，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-产品组——张荣，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-产品组——李琼，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-产品组——李琼，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-产品组——陈宇，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-产品组——陈宇，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-运营组——郑彬，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-运营组——郑彬，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-运营组——陈鑫，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-运营组——陈鑫，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——张玉，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——张玉，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——李红，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——李红，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——李心，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——李心，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——庄波，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——庄波，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——刘彬，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_产品部-市场组——刘彬，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部——孙明，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部——孙明，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——吴明，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——吴明，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——张琳，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——张琳，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——刘华，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——刘华，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——张超，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——张超，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——陈龙，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——陈龙，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——刘鹏，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——刘鹏，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——方否，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-客户端组——方否，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-java组——张民，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-java组——张民，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-java组——陈例，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-java组——陈例，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-java组——李彬，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-java组——李彬，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-java组——程陈，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-java组——程陈，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——张兰，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——张兰，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——张梅，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——张梅，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——李娟，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——李娟，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——郑婷，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——郑婷，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——李瑶，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——李瑶，选择理由_开放选项,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——张娜，选择理由,Q1_请选出最多5名您心目中的部门骑士/天使（仅可投给非本小组的成员），并填写原因哟（本页为全部成员）~_开发部-测试组——张娜，选择理由_开放选项,Q2_请选择您的姓名：
1,36.251.248.186,,,,,,,,,2018/6/29 10:01,2018/6/29 10:02,Safari 11.1.1,MacOS Macintosh X 10.13.5,1分16秒,正常完成,,,,,,,,,,,,,,,,,,,,,,,产品部-运营组——郑彬，选择理由,默默付出,产品部-运营组——陈鑫，选择理由,默默付出,,,,,,,,,,,,,,,,,,,,,,,,,,,开发部-java组——张民，选择理由,默默付出,,,,,,,,,开发部-测试组——张梅，选择理由,默默付出,,,,,,,,,开发部-客户端组——陈龙
2,36.251.248.167,,,,,,,,,2018/6/29 10:01,2018/6/29 10:05,Chrome 49.0.2623.221,Windows 7,4分22秒,正常完成,经理室——陈晓非，选择理由,不用说别的，每月必选,,,市场产品部——陈小，选择理由,很认真工作的杰哥，爱音乐上线辛苦啦,,,,,,,,,,,,,,,产品部-产品组——陈宇，选择理由,辛苦协助接口各种用户的长腿姐姐,产品部-运营组——郑彬，选择理由,很用心很有热忱的小伙子,产品部-运营组——陈鑫，选择理由,很卖力工作的小姑娘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品部-市场组——张玉
3,36.251.248.186,,,,,,,,,2018/6/29 10:04,2018/6/29 10:05,Chrome 61.0.3163.91,Windows NT 10.0,1分52秒,正常完成,,,,,,,,,,,,,,,,,,,,,,,,,产品部-运营组——陈鑫，选择理由,1,,,产品部-市场组——李红，选择理由,1,,,,,,,,,,,,,,,,,,,,,,,,,开发部-java组——陈例，选择理由,1,,,,,,,开发部-测试组——张梅，选择理由,1,开发部-测试组——李娟，选择理由,1,,,,,,,开发部-客户端组——张超
4,36.251.248.167,,,,,,,,,2018/6/29 10:08,2018/6/29 10:10,Chrome 59.0.3071.115,Windows 7,2分8秒,正常完成,,,,,,,,,,,,,,,,,,,,,,,,,产品部-运营组——陈鑫，选择理由,认真负责,,,,,,,,,产品部-市场组——刘彬，选择理由,认真负责,,,,,,,,,,,,,,,,,,,,,开发部-java组——李彬，选择理由,认真负责,,,,,,,,,,,开发部-测试组——李瑶，选择理由,甜美可爱，认真负责,,,开发部-客户端组——刘华
5,36.251.248.167,,,,,,,,,2018/6/29 10:05,2018/6/29 10:12,Chrome 58.0.3029.110,Windows NT 10.0,7分20秒,正常完成,,,,,,,,,,,,,,,,,,,产品部-产品组——李琼，选择理由,继续支持,,,,,,,,,,,,,,,产品部-市场组——刘彬，选择理由,活动组织的棒棒哒,,,,,,,,,,,开发部-客户端组——陈龙，选择理由,热心,,,,,,,,,,,,,,,,,,,开发部-测试组——郑婷，选择理由,妹纸，加油,开发部-测试组——李瑶，选择理由,工作努力负责认真,,,开发部-java组——陈例
6,36.251.248.186,,,,,,,,,2018/6/29 10:11,2018/6/29 10:13,Chrome 59.0.3067.6,Windows 7,2分17秒,正常完成,,,市场产品部——张涛，选择理由,涛哥机智,市场产品部——陈小，选择理由,杰哥认真负责,,,,,,,产品部-设计组——周妹，选择理由,有耐心,产品部-设计组——陈静，选择理由,近期设计不错哟,,,,,,,,,产品部-运营组——陈鑫，选择理由,心瑜最近辛苦啦，而且干活更细致了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品部-市场组——李红
7,36.251.248.186,,,,,,,,,2018/6/29 10:01,2018/6/29 10:19,Chrome 63.0.3239.132,Windows 7,18分7秒,正常完成,,,,,市场产品部——陈小，选择理由,很棒,,,,,,,,,,,,,,,,,,,产品部-运营组——陈鑫，选择理由,很认真负责,,,,,,,,,,,,,,,,,开发部-客户端组——刘华，选择理由,很认真负责,开发部-客户端组——张超，选择理由,能力越来越强了,,,,,,,开发部-java组——张民，选择理由,效率高，抗压高,,,,,,,,,,,,,,,,,,,开发部-测试组——张兰
8,36.251.248.186,,,,,,,,,2018/6/29 10:02,2018/6/29 10:19,Chrome 63.0.3239.108,Windows NT 10.0,17分35秒,正常完成,,,,,,,,,,,,,产品部-设计组——周妹，选择理由,乐于助人的妹纸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,开发部-客户端组——刘华，选择理由,靠谱的妹纸,,,,,,,,,,,,,开发部-java组——李彬，选择理由,踏实的老司机,,,,,,,,,开发部-测试组——郑婷，选择理由,准妈妈坚持上班测试666,开发部-测试组——李瑶，选择理由,细心的妹纸,,,产品部-产品组——张荣
9,211.97.130.165,,,,,微信,,,,2018/6/29 10:17,2018/6/29 10:20,Unknown Browser,iPhone iOS 11.4,3分14秒,正常完成,,,市场产品部——张涛，选择理由,业务能力强,,,市场产品部——张明，选择理由,认真负责,,,,,,,,,,,,,,,产品部-运营组——郑彬，选择理由,积极,,,,,,,,,产品部-市场组——庄波，选择理由,用功,,,,,,,,,,,开发部-客户端组——张超，选择理由,认真负责,,,,,,,,,,,,,,,,,,,,,,,,,,,产品部-设计组——林琴
10,36.251.248.186,,,,,,,,,2018/6/29 10:21,2018/6/29 10:25,Chrome 62.0.3202.94,Windows NT 10.0,3分50秒,正常完成,经理室——陈晓非，选择理由,女神,,,,,,,,,产品部-设计组——林琴，选择理由,人美歌甜业务棒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,开发部-java组——陈例，选择理由,开发亲们辛苦了,开发部-java组——李彬，选择理由,开发亲们辛苦了,开发部-java组——程陈，选择理由,开发亲们辛苦了,,,,,,,,,,,,,开发部-测试组——张梅
11,36.251.248.167,,,,,,,,,2018/6/29 10:22,2018/6/29 10:27,Chrome 63.0.3239.84,Windows 7,5分0秒,正常完成,,,,,市场产品部——陈小，选择理由,懂球帝火猫都给力！,,,,,产品部-设计组——林琴，选择理由,认真细致有耐心，高端大气上档次,,,,,,,产品部-产品组——李琼，选择理由,产品小天使,,,,,,,,,,,,,,,,,,,,,,,,,,,开发部-客户端组——陈龙，选择理由,认真负责热心的boy,,,,,,,,,,,,,开发部-测试组——张兰，选择理由,认真负责高效,,,,,,,,,,,产品部-市场组——李心
12,211.97.130.141,,,,,微信,,,,2018/6/29 10:33,2018/6/29 10:35,Chrome 57.0.2987.132,Android Linux 7.0,1分59秒,正常完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品部-市场组——刘彬，选择理由,负责，进步大,,,,,,,,,,,,,,,,,开发部-java组——张民，选择理由,大佬,,,,,,,开发部-测试组——张兰，选择理由,大佬,开发部-测试组——张梅，选择理由,谢不杀之恩，辛苦了,,,,,,,,,产品部-运营组——陈鑫
13,36.251.248.186,,,,,,,,,2018/6/29 10:36,2018/6/29 10:39,Chrome 55.0.2883.87,Windows NT 10.0,2分51秒,正常完成,,,,,,,,,,,,,,,产品部-设计组——陈静，选择理由,设计效果好,产品部-产品组——张荣，选择理由,靠谱,,,,,,,产品部-运营组——陈鑫，选择理由,踏实,,,产品部-市场组——李红，选择理由,积极,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市场产品部——陈小
14,140.243.116.204,,,,,微信,,,,2018/6/29 11:10,2018/6/29 11:12,Chrome 57.0.2987.132,Android Linux 7.0,2分3秒,正常完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,开发部-java组——陈例，选择理由,加班挺多的样子,开发部-java组——李彬，选择理由,加班挺多的样子,开发部-java组——程陈，选择理由,加班挺多的样子,开发部-测试组——张兰，选择理由,加班挺多的样子,,,,,,,,,,,开发部-客户端组——刘鹏
15,36.251.248.186,,,,,,,,,2018/6/29 17:16,2018/6/29 17:17,Safari 11.1,MacOS Macintosh X 10.13.4,0分49秒,正常完成,,,,,市场产品部——陈小，选择理由,5,,,,,,,,,,,产品部-产品组——张荣，选择理由,4,,,,,,,,,,,,,,,,,产品部-市场组——刘彬，选择理由,3,,,,,,,,,开发部-客户端组——张超，选择理由,1,,,,,,,,,,,,,,,,,,,,,,,开发部-测试组——李瑶，选择理由,2,,,开发部-客户端组——吴明
16,36.251.248.186,,,,,,,,,2018/6/29 17:15,2018/6/29 17:17,Chrome 48.0.2564.82,MacOS Macintosh X 10.13.3,2分5秒,正常完成,,,,,市场产品部——陈小，选择理由,对接辛苦啦,,,,,,,,,,,,,产品部-产品组——李琼，选择理由,认真，仔细！,,,,,,,,,产品部-市场组——李红，选择理由,市场幸苦啦！,,,产品部-市场组——庄波，选择理由,市场幸苦啦！,,,,,,,,,,,,,,,,,,,,,,,,,开发部-java组——程陈，选择理由,开发幸苦啦,,,,,,,,,,,,,产品部-设计组——周妹
17,36.251.248.186,,,,,,,,,2018/6/29 17:15,2018/6/29 17:18,Chrome 67.0.3396.87,Windows 7,2分20秒,正常完成,,,,,,,市场产品部——张明，选择理由,近来项目事务繁多，辛苦周老师,,,,,,,产品部-设计组——陈静，选择理由,设计作品很赞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,开发部-客户端组——张超，选择理由,实诚BOY，技术赞！,,,,,,,,,,,,,,,,,,,,,,,开发部-测试组——李瑶，选择理由,怼出一条天使之路,,,产品部-运营组——郑彬
18,36.251.248.186,,,,,,,,,2018/6/29 17:15,2018/6/29 17:18,Chrome 58.0.3029.110,Windows NT 10.0,2分40秒,正常完成,,,,,,,,,,,,,,,,,产品部-产品组——张荣，选择理由,赞一个,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,开发部-java组——张民，选择理由,认真，负责,开发部-java组——陈例，选择理由,赞一个,,,,,,,,,,,,,,,,,开发部-测试组——郑婷
19,36.251.248.186,,,,,,,,,2018/6/29 17:16,2018/6/29 17:18,Firefox 61.0,MacOS Macintosh X 10.10,1分43秒,正常完成,,,,,市场产品部——陈小，选择理由,勤劳的杰哥,,,,,,,,,,,,,产品部-产品组——李琼，选择理由,棒棒的
